TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,INCOME_GROUP,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_GIFT_COUNT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
NO,29,75,5,,1660,881,37255,2,1,18,9,2,6,12,18,24
YES,65,68,7,9,1662,777,37242,3,3,16,20,7,6,14,16,65
YES,17,,,,4058,578,37190,1,1,15,4,1,3,8,15,15
YES,89,50,1,6,4058,578,37190,2,2,23,25,18,6,13,18,85
NO,101,62,1,0,1690,846,37147,3,2,15,28,14,6,14,15,97
YES,137,51,7,9,3671,1107,37135,5,4,17,28,14,6,13,17,122
NO,65,86,6,9,1638,703,37099,2,0,26,18,6,3,7,26,64
YES,29,50,7,,4933,691,37073,2,1,26,11,2,5,11,26,33
YES,137,,,9,1956,768,36868,3,1,19,15,21,1,3,19,111
NO,65,45,5,9,1951,712,36849,1,0,25,19,5,6,11,25,64
NO,29,64,5,,2697,400,36838,3,2,23,13,4,6,12,23,33
NO,17,,,,1693,500,36809,0,0,,4,1,4,10,18,18
NO,137,83,6,9,5297,701,36753,1,0,25,28,17,4,15,25,122
NO,89,70,1,,2269,716,36600,3,1,19,23,7,6,15,19,86
NO,29,27,1,,2269,716,36600,2,1,20,8,2,4,10,20,28
NO,17,,4,,3787,965,36462,1,1,15,5,2,4,26,5,16
NO,137,64,7,9,1493,414,36446,2,0,18,33,11,6,13,18,126
YES,29,71,6,,5687,515,36437,2,2,22,11,2,6,12,22,29
YES,29,,,,817,282,36395,3,1,15,7,3,5,11,15,23
NO,77,86,7,9,2300,603,36297,2,1,24,16,6,4,9,24,77
NO,29,51,7,,2141,785,36268,2,1,18,10,2,6,13,18,29
YES,29,,,,1542,335,36158,2,2,19,11,2,6,13,19,29
NO,65,36,7,,2357,829,36095,2,0,18,16,4,6,13,18,62
NO,77,64,7,9,2357,829,36095,7,4,15,22,19,5,13,15,76
NO,29,86,2,,1538,469,36090,2,1,16,7,3,5,11,16,22
NO,65,64,7,9,1690,719,36086,8,6,17,23,26,6,13,17,65
YES,41,,,,5708,504,36020,2,2,17,6,4,2,2,17,41
NO,53,65,5,9,2823,1500,36012,1,0,17,10,3,4,11,17,53
NO,89,45,6,,3615,1121,35981,5,3,15,23,12,6,13,15,81
YES,113,50,5,7,1024,583,35842,6,4,17,30,14,6,14,17,113
YES,137,40,1,9,5000,498,35814,4,2,25,33,22,6,14,17,130
NO,89,59,7,9,2154,873,35802,2,0,20,17,4,4,10,20,86
YES,29,53,5,,2263,462,35752,2,2,15,8,2,4,10,15,29
YES,101,82,6,9,3675,732,35648,2,1,17,26,8,6,13,17,93
NO,89,45,7,8,3675,732,35648,3,2,18,27,18,6,30,18,81
YES,77,40,7,9,1699,462,35636,3,2,21,17,6,4,7,21,74
NO,125,,,9,2106,853,35602,4,3,15,30,11,6,13,15,124
NO,65,71,7,9,1701,693,35569,4,4,15,21,10,6,15,15,65
YES,65,87,6,,3905,882,35563,3,3,24,15,8,4,7,24,56
YES,41,81,7,,1101,518,35560,2,0,18,12,3,5,11,18,41
YES,29,70,5,,1432,636,35544,1,1,24,7,1,4,9,24,24
YES,41,,,,3385,608,35534,4,1,18,15,5,6,13,18,41
YES,41,70,3,,4778,792,35530,2,2,21,15,4,7,13,21,36
YES,41,81,7,,4153,580,35520,4,2,19,16,6,8,21,9,41
YES,17,,,,2639,436,35502,1,1,17,2,1,1,5,17,17
YES,137,48,6,,3567,639,35491,4,1,15,25,17,4,9,15,123
YES,89,43,7,9,3152,853,35415,6,1,15,26,16,6,13,15,85
NO,65,63,1,,790,452,35384,11,7,18,19,18,6,14,18,55
YES,101,49,5,4,2169,862,35357,1,0,24,24,13,5,11,24,92
YES,29,75,7,,3359,878,35266,4,3,16,9,5,6,15,16,24
YES,29,55,7,,1752,849,35260,2,2,16,9,2,4,11,16,31
NO,137,76,7,2,2813,357,35255,7,5,21,33,34,6,33,20,128
YES,137,59,7,,1730,794,35252,2,1,21,32,16,6,13,21,121
YES,29,76,7,,3273,609,35239,3,3,16,11,3,6,14,16,29
NO,53,44,7,9,2429,794,35197,2,1,21,20,8,6,13,21,53
YES,65,48,5,8,1305,511,35196,5,5,22,20,12,6,13,22,56
NO,17,62,5,,1604,487,35154,1,1,17,5,1,4,10,17,17
YES,77,56,6,9,5470,661,35092,2,1,15,19,8,6,13,15,68
NO,77,17,1,5,4658,637,35027,5,3,21,23,21,6,30,18,68
YES,77,37,6,9,5332,522,35022,4,2,17,21,27,6,12,17,69
YES,29,39,7,,4572,691,34909,1,1,24,7,1,4,9,24,24
YES,101,49,,9,3306,1090,34893,2,2,22,26,10,6,12,22,92
NO,65,37,1,,3194,270,34867,0,0,,14,9,4,31,4,57
YES,17,42,6,,3909,870,34835,1,1,16,6,1,5,12,16,16
YES,113,67,6,9,3909,870,34835,2,1,25,24,7,5,10,25,112
YES,113,,,6,2172,427,34738,6,2,21,26,20,6,14,19,113
NO,77,73,4,3,3222,677,34728,2,2,20,22,15,6,35,20,77
YES,41,65,1,8,1458,275,34713,5,3,19,16,10,6,12,19,44
NO,41,,3,,1458,275,34713,3,1,17,14,4,6,13,17,36
YES,101,77,1,8,3454,470,34702,5,2,15,23,16,4,8,15,93
YES,77,45,6,9,4112,562,34677,2,1,16,22,7,6,14,16,75
NO,29,,7,,1735,715,34666,3,1,19,10,4,6,12,19,32
YES,113,74,7,9,1991,478,34641,2,0,16,27,11,5,13,16,113
YES,113,77,4,9,5791,782,34593,3,3,18,27,13,6,13,18,102
YES,29,34,6,,1900,404,34592,4,1,18,10,5,5,12,18,32
NO,53,57,5,9,1497,482,34590,2,0,19,15,4,5,11,19,52
NO,77,59,7,9,1784,683,34584,2,2,24,20,5,6,11,24,77
YES,29,,5,,1938,400,34430,2,2,16,11,2,6,13,16,28
YES,17,71,1,,1594,215,34426,1,1,20,7,1,5,11,20,20
YES,77,69,5,9,3222,569,34407,5,3,16,24,11,8,31,6,69
YES,89,27,,9,2098,564,34394,1,0,19,22,8,6,13,18,81
YES,137,73,6,9,3556,735,34382,9,2,11,42,40,11,25,11,129
YES,137,,,8,3556,735,34382,5,3,16,29,14,6,14,16,120
YES,101,49,7,9,3799,821,34354,4,2,18,14,12,3,7,18,103
NO,113,74,7,9,1477,631,34267,1,0,26,30,18,8,34,6,102
NO,41,29,6,,2250,603,34189,3,2,21,14,4,6,12,21,40
YES,29,77,4,,2417,575,34152,4,2,18,12,4,6,12,18,32
YES,113,61,5,,1429,724,34070,6,4,15,26,16,6,15,15,111
YES,53,42,5,9,2196,606,34050,5,3,18,16,8,6,14,18,53
NO,77,80,6,9,5000,465,34016,2,1,19,20,11,6,16,19,70
YES,41,,,,2883,501,34012,1,1,21,12,3,6,13,21,40
NO,137,68,,9,3296,871,34010,1,1,17,34,13,7,37,13,126
NO,137,,5,,1136,431,34003,2,1,17,14,14,4,9,17,107
YES,41,,6,,3921,754,33998,6,2,18,14,8,6,15,18,40
YES,89,47,7,,3676,680,33910,1,1,21,18,4,4,10,21,86
YES,137,75,4,,2854,649,33887,3,1,15,30,12,4,11,15,96
NO,41,51,,,2629,335,33849,3,3,21,12,3,6,12,21,36
YES,29,77,7,,1711,400,33841,4,3,15,11,5,5,11,15,29
YES,53,71,6,8,4135,602,33830,7,4,16,18,14,5,13,16,52
YES,41,75,1,8,1075,368,33797,2,2,21,15,4,6,14,21,45
YES,77,,,9,5139,599,33729,1,0,26,20,5,5,10,26,66
YES,29,76,2,,4947,586,33685,3,2,15,10,4,5,11,15,29
NO,113,52,6,7,879,430,33646,3,2,21,29,20,6,13,18,105
NO,125,49,5,9,5856,976,33638,2,1,18,37,10,6,17,18,123
YES,17,79,7,,4286,811,33614,1,1,16,5,1,4,11,16,16
YES,101,58,7,9,4286,811,33614,4,2,18,29,10,6,13,18,100
YES,113,85,7,9,4286,811,33614,5,1,15,25,15,5,12,15,104
NO,101,82,6,,2298,807,33568,1,1,19,17,7,4,11,19,92
YES,41,,,,5000,405,33566,2,2,21,15,3,6,13,21,41
